account_id,AverageRevenue,PurchaseFrequency,PlanTier,CLTV
A-13466a,2223.8333333333335,6,Basic,13343.0
A-139c3b,1128.375,8,Enterprise,9027.0
A-149a69,2686.0,3,Basic,8058.0
A-151c9a,2850.0,5,Pro,14250.0
A-157070,1719.125,16,Enterprise,27506.0
A-158f4e,3654.9166666666665,12,Pro,43859.0
A-1619f8,2827.1428571428573,7,Basic,19790.0
A-17939a,879.0,11,Basic,9669.0
A-180abf,4145.777777777777,9,Basic,37312.0
A-186a44,1499.2142857142858,14,Pro,20989.0
A-18793f,7144.363636363636,11,Basic,78588.0
A-1986ca,3951.5714285714284,7,Enterprise,27661.0
A-19b2c8,2054.076923076923,13,Enterprise,26702.999999999996
A-1ac5e0,1824.9,10,Enterprise,18249.0
A-1b707d,1166.5,8,Basic,9332.0
A-1b7577,797.3636363636364,11,Basic,8771.0
A-1b9609,1528.1818181818182,11,Pro,16810.0
A-1d5444,2211.285714285714,14,Enterprise,30958.0
A-1e1b80,4053.9166666666665,12,Basic,48647.0
A-1e50e0,2659.0,5,Enterprise,13295.0
A-1e6fc3,111.0,4,Enterprise,444.0
A-1f0636,8610.0,11,Pro,94710.0
A-1f0ac7,1325.0,7,Pro,9275.0
A-1f559b,1175.6,10,Enterprise,11756.0
A-1f7acb,5864.0,8,Pro,46912.0
A-202b67,2018.6666666666667,9,Pro,18168.0
A-20736a,5789.285714285715,7,Pro,40525.0
A-22d9d2,1339.0,14,Pro,18746.0
A-22f2df,827.8888888888889,9,Pro,7451.0
A-241e75,718.8,5,Basic,3594.0
A-2446e3,3448.285714285714,7,Pro,24138.0
A-249769,1209.0,13,Basic,15717.0
A-271f46,2450.5,8,Basic,19604.0
A-2789e3,2040.75,12,Basic,24489.0
A-2922b6,1778.1666666666667,6,Pro,10669.0
A-296d7c,284.14285714285717,7,Pro,1989.0000000000002
A-297a2d,2874.6,5,Enterprise,14373.0
A-2b9d3e,571.3333333333334,9,Enterprise,5142.0
A-2bc93d,2491.846153846154,13,Pro,32394.0
A-2d1036,4973.307692307692,13,Pro,64653.0
A-2d4502,2907.1,10,Basic,29071.0
A-2e3bad,4587.2,10,Basic,45872.0
A-2e4581,1260.3,10,Basic,12603.0
A-2ebb4b,3068.8,10,Basic,30688.0
A-2edab2,1139.0,10,Enterprise,11390.0
A-2f6a32,683.0,11,Pro,7513.0
A-309e54,2595.3636363636365,11,Basic,28549.0
A-30b4ca,9492.25,8,Pro,75938.0
A-310452,2200.6,5,Pro,11003.0
A-313be3,1727.8181818181818,11,Enterprise,19006.0
A-31ab9a,2257.4285714285716,7,Enterprise,15802.0
A-32728c,562.25,8,Pro,4498.0
A-328bd0,1229.1538461538462,13,Basic,15979.0
A-32fb14,1129.111111111111,9,Pro,10162.0
A-331424,1129.3333333333333,6,Enterprise,6776.0
A-337bc1,2768.4285714285716,7,Enterprise,19379.0
A-342303,565.0,3,Pro,1695.0
A-34d880,2329.3333333333335,9,Enterprise,20964.0
A-34ea2f,1215.25,12,Pro,14583.0
A-35083d,2027.0625,16,Enterprise,32433.0
A-354f12,2222.25,4,Enterprise,8889.0
A-378b99,1009.6666666666666,12,Basic,12116.0
A-3793ee,3815.0,7,Enterprise,26705.0
A-37f969,2869.875,8,Pro,22959.0
A-3932db,1565.2222222222222,9,Pro,14087.0
A-396e5f,1023.6,10,Pro,10236.0
A-39868b,838.8,5,Enterprise,4194.0
A-39b19f,1930.6363636363637,11,Pro,21237.0
A-39ddf4,3981.777777777778,9,Enterprise,35836.0
A-3a5ad8,2207.769230769231,13,Enterprise,28701.000000000004
A-3a7284,2959.9166666666665,12,Pro,35519.0
A-3b37d9,2776.4285714285716,7,Pro,19435.0
A-3b5cd1,1821.2307692307693,13,Pro,23676.0
A-3be56b,1420.0,12,Enterprise,17040.0
A-3c1a3f,1242.4166666666667,12,Enterprise,14909.0
A-3cc791,1065.25,8,Enterprise,8522.0
A-3ce5b8,1850.0,9,Pro,16650.0
A-3d957b,1975.3333333333333,6,Pro,11852.0
A-3f9cc0,2848.5714285714284,7,Basic,19940.0
A-40906c,5366.666666666667,12,Enterprise,64400.0
A-40a557,2591.5555555555557,9,Enterprise,23324.0
A-40de06,1803.875,16,Enterprise,28862.0
A-410e86,2280.0,7,Enterprise,15960.0
A-417d2f,1433.3125,16,Enterprise,22933.0
A-425e76,1555.5454545454545,11,Basic,17111.0
A-427b69,1995.8,10,Pro,19958.0
A-42b791,2722.8571428571427,7,Pro,19060.0
A-42e5e1,1273.7142857142858,7,Enterprise,8916.0
A-432483,2868.1111111111113,9,Pro,25813.0
A-439b2f,299.3333333333333,6,Pro,1796.0
A-43a9e3,1250.5,8,Pro,10004.0
A-4437e4,1114.4375,16,Pro,17831.0
A-443b7c,1503.875,16,Basic,24062.0
A-443f6f,1510.4444444444443,9,Basic,13594.0
A-44dc83,114.0,4,Enterprise,456.0
A-45ce7a,1173.7142857142858,7,Basic,8216.0
A-462d45,1952.6666666666667,12,Pro,23432.0
A-463db0,1895.142857142857,7,Basic,13266.0
A-474ad4,808.3333333333334,15,Enterprise,12125.0
A-4814a3,7996.090909090909,11,Pro,87957.0
A-484819,2575.5,8,Basic,20604.0
A-49b828,2222.0,14,Pro,31108.0
A-4a267b,2968.7,10,Pro,29687.0
A-4a4c2d,2612.769230769231,13,Basic,33966.0
A-4ae22a,1347.4285714285713,7,Basic,9432.0
A-4bfa33,800.8571428571429,7,Enterprise,5606.0
A-4c38bc,3003.75,16,Enterprise,48060.0
A-4c56c9,2343.923076923077,13,Pro,30471.000000000004
A-4c6f11,1517.2,5,Basic,7586.0
A-4d1e75,2414.6153846153848,13,Enterprise,31390.0
A-4e0e85,568.0,8,Enterprise,4544.0
A-4e44e8,2603.214285714286,14,Basic,36445.0
A-4e631b,2218.0,11,Basic,24398.0
A-4e960a,1995.1666666666667,12,Enterprise,23942.0
A-4ef964,1586.5555555555557,9,Enterprise,14279.0
A-4f18f0,2522.0,12,Pro,30264.0
A-503d5a,1490.3333333333333,12,Basic,17884.0
A-508199,1687.2,5,Enterprise,8436.0
A-50bb9f,2157.875,8,Enterprise,17263.0
A-50f3f7,2938.4666666666667,15,Pro,44077.0
A-51ec1b,1847.8333333333333,6,Enterprise,11087.0
A-524364,1592.0,6,Enterprise,9552.0
A-5247b3,1071.909090909091,11,Basic,11791.0
A-526d93,4355.666666666667,9,Pro,39201.0
A-52dd88,1508.3636363636363,11,Enterprise,16592.0
A-533452,1878.5454545454545,11,Pro,20664.0
A-53f4e3,1507.2,10,Enterprise,15072.0
A-544d0a,1849.2,10,Enterprise,18492.0
A-54d94a,1141.5454545454545,11,Pro,12557.0
A-54ecc2,1469.8181818181818,11,Enterprise,16168.0
A-558c72,1310.142857142857,7,Enterprise,9171.0
A-55f257,1213.7,10,Basic,12137.0
A-560d27,3470.0833333333335,12,Enterprise,41641.0
A-56962b,7800.714285714285,7,Basic,54605.0
A-5790f4,3154.3333333333335,6,Basic,18926.0
A-58b9ff,1741.6923076923076,13,Enterprise,22642.0
A-592832,1714.2631578947369,19,Pro,32571.0
A-59f724,814.4166666666666,12,Pro,9773.0
A-5a184f,2068.3,10,Pro,20683.0
A-5a215a,7230.666666666667,18,Pro,130152.0
A-5a3eb9,1561.0,13,Pro,20293.0
A-5a92e7,666.8947368421053,19,Pro,12671.000000000002
A-5b051a,583.0,4,Basic,2332.0
A-5b1bcd,8886.533333333333,15,Enterprise,133298.0
A-5b4ebb,2138.6923076923076,13,Basic,27803.0
A-5c046d,10485.75,8,Basic,83886.0
A-5c9849,4083.8888888888887,9,Basic,36755.0
A-5ed98d,1934.75,8,Pro,15478.0
A-5f2961,1471.2857142857142,7,Basic,10299.0
A-5f7781,2050.4,5,Enterprise,10252.0
A-5fe118,4458.0,5,Enterprise,22290.0
A-600734,1394.7692307692307,13,Enterprise,18132.0
A-625d0b,1081.1818181818182,11,Enterprise,11893.0
A-659280,1787.5,12,Enterprise,21450.0
A-65a46c,2834.375,8,Enterprise,22675.0
A-65aeb5,2866.0,12,Enterprise,34392.0
A-65c341,3818.25,8,Enterprise,30546.0
A-66224b,5765.333333333333,12,Basic,69184.0
A-671f31,5064.166666666667,6,Pro,30385.0
A-67be94,3132.8571428571427,7,Basic,21930.0
A-684255,846.0,14,Pro,11844.0
A-6843f2,1835.5555555555557,9,Pro,16520.0
A-68f37c,2689.1666666666665,12,Enterprise,32270.0
A-692f18,1797.0588235294117,17,Pro,30550.0
A-6965e1,2313.75,12,Enterprise,27765.0
A-69b156,1588.111111111111,9,Basic,14293.0
A-69fad4,1245.857142857143,7,Enterprise,8721.0
A-6a4e2d,944.9090909090909,11,Pro,10394.0
A-6a7c9d,2605.6,5,Basic,13028.0
A-6c093d,1353.5,12,Basic,16242.0
A-6da850,1159.9375,16,Pro,18559.0
A-6dee43,2070.0,11,Basic,22770.0
A-6e08f3,1819.0,10,Enterprise,18190.0
A-6e7827,927.1111111111111,9,Basic,8344.0
A-6f50ae,1900.5714285714287,14,Enterprise,26608.0
A-6f8ad2,1525.1764705882354,17,Pro,25928.0
A-700ade,2109.375,8,Pro,16875.0
A-702032,1423.3333333333333,6,Basic,8540.0
A-712426,746.4666666666667,15,Basic,11197.0
A-712533,1615.1666666666667,12,Enterprise,19382.0
A-712f1c,3583.25,12,Enterprise,42999.0
A-71615e,3131.769230769231,13,Basic,40713.0
A-716841,3279.25,8,Pro,26234.0
A-726cfa,1830.6315789473683,19,Enterprise,34782.0
A-72799b,1731.5,10,Enterprise,17315.0
A-751bd4,95.0,2,Pro,190.0
A-751c58,1781.5454545454545,11,Basic,19597.0
A-756192,2140.0,10,Pro,21400.0
A-7641d3,1096.3636363636363,11,Basic,12059.999999999998
A-76fa4d,8812.285714285714,7,Pro,61686.0
A-779e4e,2808.1,10,Enterprise,28081.0
A-781cc0,1144.6875,16,Basic,18315.0
A-78f02b,3770.25,4,Enterprise,15081.0
A-7920cc,3255.5625,16,Basic,52089.0
A-794a0b,1510.7142857142858,7,Pro,10575.0
A-7988d1,1188.0,9,Enterprise,10692.0
A-798a3f,1572.4444444444443,9,Enterprise,14152.0
A-7a0d69,942.0,11,Basic,10362.0
A-7c4956,426.125,8,Enterprise,3409.0
A-7c5768,376.55555555555554,9,Basic,3389.0
A-7c6b6b,688.2857142857143,7,Pro,4818.0
A-7c83a1,1394.25,12,Pro,16731.0
A-7cfe77,2553.0,5,Pro,12765.0
A-7d514c,2697.1111111111113,9,Pro,24274.0
A-7da956,913.5833333333334,12,Pro,10963.0
A-7dacce,2305.7,10,Enterprise,23057.0
A-7df7a7,1943.6666666666667,15,Enterprise,29155.0
A-7e0a10,4111.6,10,Basic,41116.0
A-7f29a7,1714.5454545454545,11,Basic,18860.0
A-7f4db3,1751.7333333333333,15,Pro,26276.0
A-7f6b86,2155.777777777778,9,Basic,19402.0
A-7f8241,2634.4,15,Pro,39516.0
A-80eeb6,4280.5625,16,Pro,68489.0
A-812c5b,2298.769230769231,13,Basic,29884.000000000004
A-8145a0,1438.3333333333333,12,Enterprise,17260.0
A-81edc3,1460.3333333333333,12,Pro,17524.0
A-82861f,4363.3,10,Basic,43633.0
A-82d8a6,1645.0588235294117,17,Enterprise,27966.0
A-832ec2,1162.375,8,Basic,9299.0
A-84ebe4,2544.909090909091,11,Pro,27994.0
A-854864,2459.8333333333335,6,Basic,14759.0
A-855a48,3797.0,8,Basic,30376.0
A-856b1e,1053.5,6,Pro,6321.0
A-86902e,3604.1,10,Pro,36041.0
A-86cdb4,394.55555555555554,9,Enterprise,3551.0
A-86fc1d,1686.7777777777778,9,Basic,15181.0
A-87aa7b,1430.0625,16,Pro,22881.0
A-883b7d,2543.6666666666665,12,Enterprise,30524.0
A-88c6ca,921.2857142857143,7,Pro,6449.0
A-89ee83,2264.2727272727275,11,Enterprise,24907.000000000004
A-8adedc,2023.4285714285713,14,Enterprise,28328.0
A-8ae05d,3747.1428571428573,7,Basic,26230.0
A-8ae3fc,555.875,8,Enterprise,4447.0
A-8b0451,3170.9,10,Basic,31709.0
A-8b25f2,1080.6153846153845,13,Basic,14047.999999999998
A-8bde0c,1899.888888888889,18,Enterprise,34198.0
A-8e47ca,3124.4444444444443,9,Basic,28120.0
A-8ed5dd,996.3333333333334,12,Basic,11956.0
A-902ef7,5540.25,8,Pro,44322.0
A-9077b0,509.2857142857143,7,Pro,3565.0
A-90a8c8,3787.714285714286,7,Enterprise,26514.0
A-9123ac,2107.285714285714,7,Pro,14751.0
A-9174e0,3598.4,15,Enterprise,53976.0
A-91e948,3127.714285714286,7,Basic,21894.0
A-9208f0,438.875,8,Basic,3511.0
A-922109,1086.0,13,Pro,14118.0
A-9289f6,1091.3333333333333,12,Basic,13096.0
A-92a333,1776.5,6,Pro,10659.0
A-92a3af,3139.818181818182,11,Enterprise,34538.0
A-940b8b,1205.0,8,Enterprise,9640.0
A-94c3cd,1506.0,6,Enterprise,9036.0
A-94d3da,1889.4166666666667,12,Enterprise,22673.0
A-94f8c9,1999.3125,16,Enterprise,31989.0
A-956988,2262.076923076923,13,Pro,29406.999999999996
A-95b24a,2275.818181818182,11,Enterprise,25034.0
A-96215d,1718.6666666666667,6,Pro,10312.0
A-96bbc6,3803.25,8,Enterprise,30426.0
A-96e141,2209.714285714286,7,Enterprise,15468.0
A-970c97,1922.625,8,Enterprise,15381.0
A-9779ad,5168.0,10,Pro,51680.0
A-977ca0,1878.4375,16,Enterprise,30055.0
A-98a59a,3645.6,10,Basic,36456.0
A-993085,3230.4,15,Pro,48456.0
A-9a532a,2736.25,4,Enterprise,10945.0
A-9affe6,966.9090909090909,11,Pro,10636.0
A-9b9fe9,1643.75,12,Pro,19725.0
A-9badbd,2498.230769230769,13,Enterprise,32476.999999999996
A-9bfc9f,1704.6666666666667,9,Pro,15342.0
A-9c18c4,1782.3,10,Enterprise,17823.0
A-9ee962,1046.6666666666667,9,Enterprise,9420.0
A-9f0b68,2376.5,12,Pro,28518.0
A-9f2731,516.1428571428571,7,Pro,3613.0
A-9f9299,2826.866666666667,15,Enterprise,42403.0
A-a09355,2133.75,16,Enterprise,34140.0
A-a0ca4e,1848.111111111111,9,Enterprise,16633.0
A-a1b80b,2161.8125,16,Pro,34589.0
A-a1bbb6,1800.25,8,Enterprise,14402.0
A-a2485e,1462.5,6,Enterprise,8775.0
A-a33200,2409.4166666666665,12,Pro,28913.0
A-a45270,1677.5833333333333,12,Pro,20131.0
A-a6d261,2727.9285714285716,14,Enterprise,38191.0
A-a7bd4b,569.8181818181819,11,Pro,6268.000000000001
A-a865bd,4204.4,5,Enterprise,21022.0
A-a8b49c,963.9166666666666,12,Enterprise,11567.0
A-a8d89d,2443.3333333333335,12,Enterprise,29320.0
A-aa9511,4064.6666666666665,15,Enterprise,60970.0
A-ab438f,2044.75,8,Pro,16358.0
A-ac14bb,3468.25,8,Enterprise,27746.0
A-ac85cd,3438.9166666666665,12,Pro,41267.0
A-ac9111,1664.125,16,Pro,26626.0
A-acb7f7,2714.5,12,Basic,32574.0
A-ad296b,3071.6666666666665,6,Basic,18430.0
A-ad3abd,2413.714285714286,7,Pro,16896.0
A-ad64c6,2451.3333333333335,6,Enterprise,14708.0
A-adc1f3,2956.4444444444443,9,Enterprise,26608.0
A-ae052e,1282.1666666666667,6,Pro,7693.0
A-af0cd2,587.2727272727273,11,Pro,6460.0
A-afa505,7334.444444444444,9,Enterprise,66010.0
A-b07346,6283.2,5,Enterprise,31416.0
A-b07b56,1132.2666666666667,15,Pro,16984.0
A-b11cd0,801.0,6,Basic,4806.0
A-b179bf,3586.2,5,Enterprise,17931.0
A-b20d99,1581.2857142857142,7,Basic,11069.0
A-b2225d,1590.6666666666667,12,Pro,19088.0
A-b2af2e,778.0,4,Basic,3112.0
A-b30291,537.5,10,Basic,5375.0
A-b3fe05,2721.5555555555557,9,Basic,24494.0
A-b44e3e,6217.285714285715,7,Enterprise,43521.0
A-b48f73,4045.714285714286,7,Basic,28320.0
A-b54c01,848.25,4,Pro,3393.0
A-b7724f,402.75,8,Basic,3222.0
A-b78bf8,2802.875,8,Pro,22423.0
A-b7b7b7,2379.8333333333335,12,Pro,28558.0
A-b7ef83,2391.2,15,Pro,35868.0
A-b9eed8,1507.0,11,Pro,16577.0
A-b9f5b1,1010.2857142857143,7,Enterprise,7072.0
A-ba6516,2183.0,13,Enterprise,28379.0
A-bad8c1,1113.857142857143,7,Enterprise,7797.0
A-bb1486,2038.375,8,Pro,16307.0
A-bb1eaa,2076.2,5,Pro,10381.0
A-bb2f49,2180.909090909091,11,Pro,23990.0
A-bb3bd4,1064.5714285714287,7,Enterprise,7452.000000000001
A-bbc346,2547.846153846154,13,Basic,33122.0
A-bbe56f,1205.0,5,Pro,6025.0
A-bc4d48,1770.0,7,Basic,12390.0
A-bc87bc,1504.0,8,Pro,12032.0
A-bcbe98,1969.6363636363637,11,Pro,21666.0
A-bcf664,1056.0,13,Basic,13728.0
A-bcf87c,1979.090909090909,11,Enterprise,21770.0
A-bd4513,4350.333333333333,12,Pro,52204.0
A-bd4708,2998.076923076923,13,Enterprise,38975.0
A-bece89,3208.3333333333335,6,Basic,19250.0
A-bf7919,260.0,6,Pro,1560.0
A-c16101,1242.2,10,Basic,12422.0
A-c16b88,2259.777777777778,9,Basic,20338.0
A-c16cf7,1227.4,10,Basic,12274.0
A-c1dfe1,3223.75,8,Enterprise,25790.0
A-c1e51e,2390.5,10,Enterprise,23905.0
A-c222ab,2665.1428571428573,7,Pro,18656.0
A-c37601,1706.25,12,Basic,20475.0
A-c37cab,2452.75,12,Pro,29433.0
A-c42f1f,646.875,8,Basic,5175.0
A-c43359,1539.0,8,Pro,12312.0
A-c45b23,708.6666666666666,12,Pro,8504.0
A-c4ea60,1627.3333333333333,9,Enterprise,14646.0
A-c58f49,10140.0,7,Enterprise,70980.0
A-c608c8,1189.25,8,Pro,9514.0
A-c62e55,1322.4444444444443,9,Enterprise,11902.0
A-c70870,5659.142857142857,7,Basic,39614.0
A-c7e58b,769.1428571428571,7,Basic,5384.0
A-c7ffc2,3009.3333333333335,12,Basic,36112.0
A-c9bb3e,1521.7,10,Basic,15217.0
A-cab532,1339.2,15,Pro,20088.0
A-cb5333,1641.0,16,Pro,26256.0
A-cb6cc6,374.57142857142856,7,Enterprise,2622.0
A-cbbe12,2180.1666666666665,6,Pro,13081.0
A-cbd1a3,1635.1,10,Enterprise,16351.0
A-cc102e,1006.3,10,Pro,10063.0
A-cc1d8d,688.2307692307693,13,Enterprise,8947.0
A-cc8c8f,2228.5714285714284,7,Enterprise,15600.0
A-cc98bc,2156.7,10,Enterprise,21567.0
A-ccabf0,2237.9,10,Enterprise,22379.0
A-ccb686,1795.0833333333333,12,Pro,21541.0
A-ccc747,802.0,6,Enterprise,4812.0
A-cd458b,2886.0666666666666,15,Basic,43291.0
A-cdf020,2259.0,8,Pro,18072.0
A-ce550d,5417.888888888889,9,Enterprise,48761.0
A-ce66f8,1976.3333333333333,6,Enterprise,11858.0
A-cea1f0,1224.4,10,Pro,12244.0
A-ced9aa,568.3636363636364,11,Enterprise,6252.0
A-d26ab4,1845.888888888889,9,Basic,16613.0
A-d27f50,3734.5833333333335,12,Pro,44815.0
A-d3c88e,2014.076923076923,13,Basic,26183.0
A-d40bf7,4324.7,10,Enterprise,43247.0
A-d42431,2351.1111111111113,9,Basic,21160.0
A-d49cc5,1665.625,8,Basic,13325.0
A-d4ac0e,1450.3684210526317,19,Enterprise,27557.0
A-d4e0d4,13806.0,10,Enterprise,138060.0
A-d535f6,823.8888888888889,9,Pro,7415.0
A-d5a319,3153.9166666666665,12,Enterprise,37847.0
A-d62e02,2132.4,10,Enterprise,21324.0
A-d77f4c,3480.4285714285716,14,Enterprise,48726.0
A-d792a6,1536.6,15,Basic,23049.0
A-d82ef9,1023.3571428571429,14,Enterprise,14327.0
A-d922bf,2444.8571428571427,7,Enterprise,17114.0
A-db5e9e,1156.375,8,Enterprise,9251.0
A-dbc825,2650.25,16,Pro,42404.0
A-dcc2f0,1166.2,15,Enterprise,17493.0
A-dcc3f1,1593.375,8,Enterprise,12747.0
A-de24d5,1640.5384615384614,13,Basic,21327.0
A-de58ca,2173.181818181818,11,Basic,23905.0
A-dec005,3074.4,10,Pro,30744.0
A-df10db,1066.3636363636363,11,Basic,11729.999999999998
A-df1e44,1191.5454545454545,11,Pro,13107.0
A-dfbd31,1791.357142857143,14,Enterprise,25079.0
A-e08cd3,6456.363636363636,11,Pro,71020.0
A-e1462e,1718.5714285714287,7,Pro,12030.0
A-e19ff6,409.1666666666667,12,Pro,4910.0
A-e1b9cd,2469.4666666666667,15,Enterprise,37042.0
A-e2cd1b,1394.2222222222222,9,Pro,12548.0
A-e351e1,699.6,5,Basic,3498.0
A-e36807,1256.9,10,Basic,12569.0
A-e3bd71,3784.5454545454545,11,Enterprise,41630.0
A-e40f45,1689.2857142857142,7,Pro,11825.0
A-e4144b,3542.4,10,Enterprise,35424.0
A-e43bf7,6666.571428571428,7,Pro,46666.0
A-e4bf56,2703.714285714286,7,Enterprise,18926.0
A-e51ec7,3009.5,8,Basic,24076.0
A-e5d6ab,1304.8,10,Enterprise,13048.0
A-e60f9d,3387.8,15,Pro,50817.0
A-e61e98,1498.2222222222222,9,Pro,13484.0
A-e693b6,2846.25,12,Basic,34155.0
A-e6afc1,2052.909090909091,11,Pro,22582.0
A-e7a1e2,1670.1666666666667,12,Enterprise,20042.0
A-e7beab,1618.857142857143,7,Pro,11332.0
A-e83938,937.875,8,Basic,7503.0
A-e888d1,1240.5454545454545,11,Basic,13646.0
A-e89151,2414.8888888888887,9,Basic,21734.0
A-e98302,2094.5,6,Enterprise,12567.0
A-eafc6e,2318.4285714285716,7,Pro,16229.0
A-eb1312,1512.25,12,Basic,18147.0
A-eb2fdc,2664.0,12,Pro,31968.0
A-eb7c38,2547.3333333333335,15,Enterprise,38210.0
A-eb7fac,4209.6,10,Enterprise,42096.0
A-ed510f,3616.2,10,Enterprise,36162.0
A-ee42db,963.9166666666666,12,Pro,11567.0
A-ef84cf,1501.4,5,Basic,7507.0
A-f03140,2107.5,10,Pro,21075.0
A-f17767,1152.7857142857142,14,Pro,16139.0
A-f19409,2844.6666666666665,12,Enterprise,34136.0
A-f19b24,841.0,3,Basic,2523.0
A-f1f639,729.75,4,Enterprise,2919.0
A-f25509,3224.4,5,Pro,16122.0
A-f3ff05,1497.3076923076924,13,Pro,19465.0
A-f44180,2617.090909090909,11,Basic,28788.0
A-f446b6,1265.7777777777778,9,Basic,11392.0
A-f45426,1571.7272727272727,11,Pro,17289.0
A-f51f16,1663.75,8,Pro,13310.0
A-f5641b,3912.0,10,Basic,39120.0
A-f6b2fb,2335.9,10,Pro,23359.0
A-f92792,1343.357142857143,14,Basic,18807.0
A-f97b9a,2166.6363636363635,11,Pro,23833.0
A-f9cc74,1555.7,10,Basic,15557.0
A-fa2041,1742.9166666666667,12,Pro,20915.0
A-fa3095,5769.166666666667,12,Enterprise,69230.0
A-faa28c,4171.714285714285,14,Basic,58403.99999999999
A-fabe19,2928.1428571428573,7,Enterprise,20497.0
A-fb186e,1923.6666666666667,3,Enterprise,5771.0
A-fce879,1359.4,5,Basic,6797.0
A-fd7ad3,383.1,10,Enterprise,3831.0
A-fd9422,3125.5555555555557,9,Pro,28130.0
A-fda07f,2368.1666666666665,12,Pro,28418.0
A-fdfc91,2061.2,10,Basic,20612.0
A-fe79a5,1353.2,10,Enterprise,13532.0
A-ff3c73,481.6666666666667,9,Basic,4335.0
A-ff79f2,3097.0,9,Enterprise,27873.0
A-ffc04f,1335.9333333333334,15,Basic,20039.0
A-ffdfd5,1432.2,10,Basic,14322.0
