account_id,total_mrr,total_months,estimated_cltv,cltv_segment
A-a1b80b,34589.0,361.0,34589.0,High
A-a1bbb6,14402.0,231.7,14402.0,Medium
A-a2485e,8775.0,126.3,8775.0,Low
A-a33200,28913.0,220.0,28913.0,High
A-a45270,20131.0,237.7,20131.0,Medium
A-a6d261,38191.0,342.2,38191.0,High
A-a7bd4b,6268.0,259.3,6268.0,Low
A-a865bd,21022.0,129.2,21022.0,Medium
A-a8b49c,11567.0,325.4,11567.0,Low
A-a8d89d,29320.0,277.9,29320.0,High
A-aa9511,60970.0,339.9,60970.0,High
A-ab438f,16358.0,100.1,16358.0,Medium
A-ac14bb,27746.0,185.1,27746.0,High
A-ac85cd,41267.0,182.9,41267.0,High
A-ac9111,26626.0,346.4,26626.0,High
A-acb7f7,32574.0,295.8,32574.0,High
A-ad296b,18430.0,109.8,18430.0,Medium
A-ad3abd,16896.0,144.4,16896.0,Medium
A-ad64c6,14708.0,119.9,14708.0,Medium
A-adc1f3,26608.0,160.1,26608.0,High
A-ae052e,7693.0,78.7,7693.0,Low
A-af0cd2,6460.0,299.2,6460.0,Low
A-afa505,66010.0,199.6,66010.0,High
A-b07346,31416.0,94.3,31416.0,High
A-b07b56,16984.0,265.4,16984.0,Medium
A-b11cd0,4806.0,149.8,4806.0,Low
A-b179bf,17931.0,94.5,17931.0,Medium
A-b20d99,11069.0,173.0,11069.0,Low
A-b2225d,19088.0,271.6,19088.0,Medium
A-b2af2e,3112.0,83.0,3112.0,Low
A-b30291,5375.0,209.8,5375.0,Low
A-b3fe05,24494.0,169.5,24494.0,High
A-b44e3e,43521.0,153.8,43521.0,High
A-b48f73,28320.0,132.0,28320.0,High
A-b54c01,3393.0,79.3,3393.0,Low
A-b7724f,3222.0,127.3,3222.0,Low
A-b78bf8,22423.0,151.1,22423.0,Medium
A-b7b7b7,28558.0,254.0,28558.0,High
A-b7ef83,35868.0,308.2,35868.0,High
A-b9eed8,16577.0,249.1,16577.0,Medium
A-b9f5b1,7072.0,167.6,7072.0,Low
A-ba6516,28379.0,325.0,28379.0,High
A-bad8c1,7797.0,213.2,7797.0,Low
A-bb1486,16307.0,133.7,16307.0,Medium
A-bb1eaa,10381.0,111.3,10381.0,Low
A-bb2f49,23990.0,277.3,23990.0,Medium
A-bb3bd4,7452.0,158.5,7452.0,Low
A-bbc346,33122.0,224.2,33122.0,High
A-bbe56f,6025.0,142.0,6025.0,Low
A-bc4d48,12390.0,155.3,12390.0,Low
A-bc87bc,12032.0,117.5,12032.0,Low
A-bcbe98,21666.0,229.3,21666.0,Medium
A-bcf664,13728.0,330.6,13728.0,Low
A-bcf87c,21770.0,186.0,21770.0,Medium
A-bd4513,52204.0,189.9,52204.0,High
A-bd4708,38975.0,266.5,38975.0,High
A-bece89,19250.0,160.0,19250.0,Medium
A-bf7919,1560.0,92.3,1560.0,Low
A-c16101,12422.0,205.1,12422.0,Low
A-c16b88,20338.0,182.2,20338.0,Medium
A-c16cf7,12274.0,175.7,12274.0,Low
A-c1dfe1,25790.0,186.6,25790.0,High
A-c1e51e,23905.0,136.7,23905.0,Medium
A-c222ab,18656.0,124.6,18656.0,Medium
A-c37601,20475.0,189.3,20475.0,Medium
A-c37cab,29433.0,211.4,29433.0,High
A-c42f1f,5175.0,142.3,5175.0,Low
A-c43359,12312.0,113.3,12312.0,Low
A-c45b23,8504.0,271.9,8504.0,Low
A-c4ea60,14646.0,230.8,14646.0,Medium
A-c58f49,70980.0,144.9,70980.0,High
A-c608c8,9514.0,198.4,9514.0,Low
A-c62e55,11902.0,236.1,11902.0,Low
A-c70870,39614.0,131.8,39614.0,High
A-c7e58b,5384.0,183.9,5384.0,Low
A-c7ffc2,36112.0,339.4,36112.0,High
A-c9bb3e,15217.0,203.9,15217.0,Medium
A-cab532,20088.0,382.2,20088.0,Medium
A-cb5333,26256.0,347.8,26256.0,High
A-cb6cc6,2622.0,202.9,2622.0,Low
A-cbbe12,13081.0,126.4,13081.0,Low
A-cbd1a3,16351.0,188.3,16351.0,Medium
A-cc102e,10063.0,194.8,10063.0,Low
A-cc1d8d,8947.0,239.8,8947.0,Low
A-cc8c8f,15600.0,126.2,15600.0,Medium
A-cc98bc,21567.0,287.1,21567.0,Medium
A-ccabf0,22379.0,234.9,22379.0,Medium
A-ccb686,21541.0,266.3,21541.0,Medium
A-ccc747,4812.0,117.7,4812.0,Low
A-cd458b,43291.0,293.0,43291.0,High
A-cdf020,18072.0,143.3,18072.0,Medium
A-ce550d,48761.0,136.2,48761.0,High
A-ce66f8,11858.0,156.0,11858.0,Low
A-cea1f0,12244.0,214.6,12244.0,Low
A-ced9aa,6252.0,172.8,6252.0,Low
A-d26ab4,16613.0,153.2,16613.0,Medium
A-d27f50,44815.0,185.5,44815.0,High
A-d3c88e,26183.0,249.4,26183.0,High
A-d40bf7,43247.0,187.6,43247.0,High
A-d42431,21160.0,176.2,21160.0,Medium
A-d49cc5,13325.0,190.3,13325.0,Low
A-d4ac0e,27557.0,401.8,27557.0,High
A-d4e0d4,138060.0,176.8,138060.0,High
A-d535f6,7415.0,179.3,7415.0,Low
A-d5a319,37847.0,329.6,37847.0,High
A-d62e02,21324.0,196.8,21324.0,Medium
A-d77f4c,48726.0,307.2,48726.0,High
A-d792a6,23049.0,460.1,23049.0,Medium
A-d82ef9,14327.0,280.4,14327.0,Medium
A-d922bf,17114.0,157.7,17114.0,Medium
A-db5e9e,9251.0,131.7,9251.0,Low
A-dbc825,42404.0,310.9,42404.0,High
A-dcc2f0,17493.0,367.6,17493.0,Medium
A-dcc3f1,12747.0,195.2,12747.0,Low
A-de24d5,21327.0,227.7,21327.0,Medium
A-de58ca,23905.0,293.7,23905.0,Medium
A-dec005,30744.0,225.5,30744.0,High
A-df10db,11730.0,286.7,11730.0,Low
A-df1e44,13107.0,236.8,13107.0,Low
A-dfbd31,25079.0,332.1,25079.0,High
A-e08cd3,71020.0,200.0,71020.0,High
A-e1462e,12030.0,204.7,12030.0,Low
A-e19ff6,4910.0,302.7,4910.0,Low
A-e1b9cd,37042.0,363.6,37042.0,High
A-e2cd1b,12548.0,204.4,12548.0,Low
A-e351e1,3498.0,83.0,3498.0,Low
A-e36807,12569.0,193.9,12569.0,Low
A-e3bd71,41630.0,270.8,41630.0,High
A-e40f45,11825.0,146.8,11825.0,Low
A-e4144b,35424.0,189.2,35424.0,High
A-e43bf7,46666.0,197.1,46666.0,High
A-e4bf56,18926.0,113.4,18926.0,Medium
A-e51ec7,24076.0,172.7,24076.0,Medium
A-e5d6ab,13048.0,264.4,13048.0,Low
A-e60f9d,50817.0,255.2,50817.0,High
A-e61e98,13484.0,248.8,13484.0,Low
A-e693b6,34155.0,261.6,34155.0,High
A-e6afc1,22582.0,324.7,22582.0,Medium
A-e7a1e2,20042.0,224.6,20042.0,Medium
A-e7beab,11332.0,115.3,11332.0,Low
A-e83938,7503.0,188.5,7503.0,Low
A-e888d1,13646.0,258.7,13646.0,Low
A-e89151,21734.0,183.5,21734.0,Medium
A-e98302,12567.0,123.2,12567.0,Low
A-eafc6e,16229.0,175.6,16229.0,Medium
A-eb1312,18147.0,214.4,18147.0,Medium
A-eb2fdc,31968.0,261.6,31968.0,High
A-eb7c38,38210.0,259.6,38210.0,High
A-eb7fac,42096.0,222.6,42096.0,High
A-ed510f,36162.0,259.3,36162.0,High
A-ee42db,11567.0,345.9,11567.0,Low
A-ef84cf,7507.0,101.4,7507.0,Low
A-f03140,21075.0,248.9,21075.0,Medium
A-f17767,16139.0,367.5,16139.0,Medium
A-f19409,34136.0,288.4,34136.0,High
A-f19b24,2523.0,68.9,2523.0,Low
A-f1f639,2919.0,121.4,2919.0,Low
A-f25509,16122.0,112.5,16122.0,Medium
A-f3ff05,19465.0,252.2,19465.0,Medium
A-f44180,28788.0,272.0,28788.0,High
A-f446b6,11392.0,230.1,11392.0,Low
A-f45426,17289.0,186.1,17289.0,Medium
A-f51f16,13310.0,191.6,13310.0,Low
A-f5641b,39120.0,196.0,39120.0,High
A-f6b2fb,23359.0,190.2,23359.0,Medium
A-f92792,18807.0,292.0,18807.0,Medium
A-f97b9a,23833.0,273.8,23833.0,Medium
A-f9cc74,15557.0,175.5,15557.0,Medium
A-fa2041,20915.0,267.7,20915.0,Medium
A-fa3095,69230.0,298.1,69230.0,High
A-faa28c,58404.0,305.8,58404.0,High
A-fabe19,20497.0,94.4,20497.0,Medium
A-fb186e,5771.0,55.9,5771.0,Low
A-fce879,6797.0,100.9,6797.0,Low
A-fd7ad3,3831.0,156.9,3831.0,Low
A-fd9422,28130.0,173.8,28130.0,High
A-fda07f,28418.0,245.4,28418.0,High
A-fdfc91,20612.0,251.4,20612.0,Medium
A-fe79a5,13532.0,190.5,13532.0,Low
A-ff3c73,4335.0,239.1,4335.0,Low
A-ff79f2,27873.0,149.4,27873.0,High
A-ffc04f,20039.0,277.5,20039.0,Medium
A-ffdfd5,14322.0,196.7,14322.0,Medium
